order_id,order_date,customer_id,product_id,quantity,sales,region,unit_price,year,month,quarter,day_of_week,day_of_month,week_of_year,is_weekend,month_name,day_name,year_month,effective_price,revenue_per_item,quantity_category,revenue_category,first_purchase_date,last_purchase_date,transaction_count,order_count,total_revenue,avg_order_value,total_quantity,unique_products,recency_days,customer_lifetime_days,purchase_frequency,recency_score,monetary_score,frequency_score,total_product_revenue,popularity_score,unique_customers
CA-2017-152156,2017-11-08,CG-12520,FUR-BO-10001798,1,261.96,South,261.96,2017,11,4,2,8,45,0,November,Wednesday,2017-11,261.96,261.96,Single,Very High,2016-10-15,2018-01-26,5,3,1148.7800000000002,229.75600000000003,5,5,338,468,0.0106609808102345,Very Recent,High Value,Rare,1263.957,Niche,4
CA-2017-152156,2017-11-08,CG-12520,FUR-CH-10000454,1,731.94,South,731.94,2017,11,4,2,8,45,0,November,Wednesday,2017-11,731.94,731.94,Single,Very High,2016-10-15,2018-01-26,5,3,1148.7800000000002,229.75600000000003,5,5,338,468,0.0106609808102345,Very Recent,High Value,Rare,10637.528,Regular,12
CA-2017-138688,2017-06-12,DV-13045,OFF-LA-10000240,1,14.62,West,14.62,2017,6,2,0,12,24,0,June,Monday,2017-06,14.62,14.62,Single,High,2017-06-12,2018-12-11,9,5,1119.483,124.387,9,9,19,547,0.0164233576642335,Very Recent,High Value,Rare,153.51,Regular,7
US-2016-108966,2016-10-11,SO-20335,FUR-TA-10000577,1,957.5775,South,957.5775,2016,10,4,1,11,41,0,October,Tuesday,2016-10,957.5775,957.5775,Single,Very High,2016-10-11,2018-12-01,15,6,2602.5755,173.50503333333333,15,15,29,781,0.0191815856777493,Very Recent,VIP,Occasional,7242.768,Regular,8
US-2016-108966,2016-10-11,SO-20335,OFF-ST-10000760,1,22.368,South,22.368,2016,10,4,1,11,41,0,October,Tuesday,2016-10,22.368,22.368,Single,Very High,2016-10-11,2018-12-01,15,6,2602.5755,173.50503333333333,15,15,29,781,0.0191815856777493,Very Recent,VIP,Occasional,301.968,Niche,5
CA-2015-115812,2015-06-09,BH-11710,FUR-FU-10001487,1,48.86,West,48.86,2015,6,2,1,9,24,0,June,Tuesday,2015-06,48.86,48.86,Single,Very High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,160.54000000000002,Niche,5
CA-2015-115812,2015-06-09,BH-11710,OFF-AR-10002833,1,7.28,West,7.28,2015,6,2,1,9,24,0,June,Tuesday,2015-06,7.28,7.28,Single,Medium,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,30.576,Regular,6
CA-2015-115812,2015-06-09,BH-11710,TEC-PH-10002275,1,907.152,West,907.152,2015,6,2,1,9,24,0,June,Tuesday,2015-06,907.152,907.152,Single,Very High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,2116.688,Niche,4
CA-2015-115812,2015-06-09,BH-11710,OFF-BI-10003910,1,18.504,West,18.504,2015,6,2,1,9,24,0,June,Tuesday,2015-06,18.504,18.504,Single,High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,215.109,Regular,10
CA-2015-115812,2015-06-09,BH-11710,OFF-AP-10002892,1,114.9,West,114.9,2015,6,2,1,9,24,0,June,Tuesday,2015-06,114.9,114.9,Single,Very High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,464.196,Regular,7
CA-2015-115812,2015-06-09,BH-11710,FUR-TA-10001539,1,1706.184,West,1706.184,2015,6,2,1,9,24,0,June,Tuesday,2015-06,1706.184,1706.184,Single,Very High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,4952.673,Regular,9
CA-2015-115812,2015-06-09,BH-11710,TEC-PH-10002033,1,911.424,West,911.424,2015,6,2,1,9,24,0,June,Tuesday,2015-06,911.424,911.424,Single,Very High,2015-06-09,2018-12-07,24,8,6255.351,260.639625,24,24,23,1277,0.0187793427230046,Very Recent,VIP,Occasional,2221.596,Niche,4
CA-2018-114412,2018-04-15,AA-10480,OFF-PA-10002365,1,15.552,South,15.552,2018,4,2,6,15,15,1,April,Sunday,2018-04,15.552,15.552,Single,High,2015-05-04,2018-04-15,12,4,1790.5120000000002,149.20933333333335,12,12,259,1077,0.0111317254174397,Very Recent,High Value,Rare,89.424,Niche,5
CA-2017-161389,2017-12-05,IM-15070,OFF-BI-10003656,1,407.976,West,407.976,2017,12,4,1,5,49,0,December,Tuesday,2017-12,407.976,407.976,Single,Very High,2015-12-19,2017-12-05,21,7,4930.474,234.7844761904762,21,21,390,717,0.0292479108635097,Very Recent,VIP,Occasional,3093.818,Regular,8
US-2016-118983,2016-11-22,HP-14815,OFF-AP-10002311,1,68.81,Central,68.81,2016,11,4,1,22,47,0,November,Tuesday,2016-11,68.81,68.81,Single,Very High,2015-05-06,2018-11-30,10,7,1990.314,199.0314,10,10,30,1304,0.0076628352490421,Very Recent,High Value,Rare,1383.081,Regular,10
US-2016-118983,2016-11-22,HP-14815,OFF-BI-10000756,1,2.544,Central,2.544,2016,11,4,1,22,47,0,November,Tuesday,2016-11,2.544,2.544,Single,Low,2015-05-06,2018-11-30,10,7,1990.314,199.0314,10,10,30,1304,0.0076628352490421,Very Recent,High Value,Rare,94.128,Regular,8
CA-2015-105893,2015-11-11,PK-19075,OFF-ST-10004186,1,665.88,Central,665.88,2015,11,4,2,11,46,0,November,Wednesday,2015-11,665.88,665.88,Single,Very High,2015-11-11,2018-12-21,25,12,8646.934,345.87735999999995,25,25,9,1136,0.0219876868953386,Very Recent,VIP,Occasional,2552.54,Niche,5
CA-2015-167164,2015-05-13,AG-10270,OFF-ST-10000107,1,55.5,West,55.5,2015,5,2,2,13,20,0,May,Wednesday,2015-05,55.5,55.5,Single,Very High,2015-05-13,2018-03-27,14,5,2582.898,184.4927142857143,14,14,278,1049,0.0133333333333333,Very Recent,VIP,Occasional,477.3,Niche,4
CA-2015-143336,2015-08-27,ZD-21925,OFF-AR-10003056,1,8.56,West,8.56,2015,8,3,3,27,35,0,August,Thursday,2015-08,8.56,8.56,Single,Medium,2015-08-27,2018-06-11,9,5,1493.944,165.99377777777778,9,9,202,1019,0.0088235294117647,Very Recent,High Value,Rare,96.728,Regular,7
CA-2015-143336,2015-08-27,ZD-21925,TEC-PH-10001949,1,213.48,West,213.48,2015,8,3,3,27,35,0,August,Thursday,2015-08,213.48,213.48,Single,Very High,2015-08-27,2018-06-11,9,5,1493.944,165.99377777777778,9,9,202,1019,0.0088235294117647,Very Recent,High Value,Rare,213.48,Niche,1
CA-2015-143336,2015-08-27,ZD-21925,OFF-BI-10002215,1,22.72,West,22.72,2015,8,3,3,27,35,0,August,Thursday,2015-08,22.72,22.72,Single,Very High,2015-08-27,2018-06-11,9,5,1493.944,165.99377777777778,9,9,202,1019,0.0088235294117647,Very Recent,High Value,Rare,143.42,Regular,7
CA-2017-137330,2017-12-09,KB-16585,OFF-AR-10000246,1,19.46,Central,19.46,2017,12,4,5,9,49,1,December,Saturday,2017-12,19.46,19.46,Single,High,2015-04-04,2018-05-14,23,12,2744.742,119.3366086956522,23,23,230,1136,0.0202286719437115,Very Recent,VIP,Occasional,61.716,Niche,5
CA-2017-137330,2017-12-09,KB-16585,OFF-AP-10001492,1,60.34,Central,60.34,2017,12,4,5,9,49,1,December,Saturday,2017-12,60.34,60.34,Single,Very High,2015-04-04,2018-05-14,23,12,2744.742,119.3366086956522,23,23,230,1136,0.0202286719437115,Very Recent,VIP,Occasional,299.976,Regular,8
US-2018-156909,2018-07-16,SF-20065,FUR-CH-10002774,1,71.372,East,71.372,2018,7,3,0,16,29,0,July,Monday,2018-07,71.372,71.372,Single,Very High,2015-09-10,2018-11-01,9,7,763.5459999999999,84.83844444444443,9,9,59,1148,0.0078328981723237,Very Recent,Medium Value,Rare,764.7,Regular,7
CA-2016-106320,2016-09-25,EB-13870,FUR-TA-10000577,1,1044.63,West,1044.63,2016,9,3,6,25,38,1,September,Sunday,2016-09,1044.63,1044.63,Single,Very High,2015-05-05,2018-09-21,11,10,2767.219,251.56536363636363,11,11,100,1235,0.0088996763754045,Very Recent,VIP,Rare,7242.768,Regular,8
CA-2017-121755,2017-01-16,EH-13945,OFF-BI-10001634,1,11.648,West,11.648,2017,1,1,0,16,3,0,January,Monday,2017-01,11.648,11.648,Single,Medium,2015-07-02,2018-05-27,17,8,684.1709999999999,40.24535294117646,17,17,217,1060,0.0160226201696512,Very Recent,Medium Value,Occasional,115.024,Regular,6
CA-2017-121755,2017-01-16,EH-13945,TEC-AC-10003027,1,90.57,West,90.57,2017,1,1,0,16,3,0,January,Monday,2017-01,90.57,90.57,Single,Very High,2015-07-02,2018-05-27,17,8,684.1709999999999,40.24535294117646,17,17,217,1060,0.0160226201696512,Very Recent,Medium Value,Occasional,350.20399999999995,Niche,3
US-2016-150630,2016-09-17,TB-21520,FUR-BO-10004834,1,3083.43,East,3083.43,2016,9,3,5,17,37,1,September,Saturday,2016-09,3083.43,3083.43,Single,Very High,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,15610.9656,Niche,5
US-2016-150630,2016-09-17,TB-21520,OFF-BI-10000474,1,9.618,East,9.618,2016,9,3,5,17,37,1,September,Saturday,2016-09,9.618,9.618,Single,Medium,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,197.169,Regular,7
US-2016-150630,2016-09-17,TB-21520,FUR-FU-10004848,1,124.2,East,124.2,2016,9,3,5,17,37,1,September,Saturday,2016-09,124.2,124.2,Single,Very High,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,1438.132,Regular,12
US-2016-150630,2016-09-17,TB-21520,OFF-EN-10001509,1,3.264,East,3.264,2016,9,3,5,17,37,1,September,Saturday,2016-09,3.264,3.264,Single,Low,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,68.136,Regular,11
US-2016-150630,2016-09-17,TB-21520,OFF-AR-10004042,1,86.304,East,86.304,2016,9,3,5,17,37,1,September,Saturday,2016-09,86.304,86.304,Single,Very High,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,496.248,Regular,6
US-2016-150630,2016-09-17,TB-21520,OFF-BI-10001525,1,6.858,East,6.858,2016,9,3,5,17,37,1,September,Saturday,2016-09,6.858,6.858,Single,Medium,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,63.627,Regular,8
US-2016-150630,2016-09-17,TB-21520,OFF-AR-10001683,1,15.76,East,15.76,2016,9,3,5,17,37,1,September,Saturday,2016-09,15.76,15.76,Single,High,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,171.39,Regular,6
CA-2018-107727,2018-10-19,MA-17560,OFF-PA-10000249,1,29.472,Central,29.472,2018,10,4,4,19,42,0,October,Friday,2018-10,29.472,29.472,Single,Very High,2015-08-08,2018-10-27,34,11,4299.161,126.44591176470588,34,34,64,1176,0.0288870008496176,Very Recent,VIP,Regular,196.48,Regular,6
CA-2017-117590,2017-12-08,GH-14485,TEC-PH-10004977,1,1097.544,Central,1097.544,2017,12,4,4,8,49,0,December,Friday,2017-12,1097.544,1097.544,Single,Very High,2016-10-08,2017-12-08,3,2,1361.244,453.7480000000001,3,3,387,426,0.0070257611241217,Very Recent,High Value,Rare,5291.7300000000005,Regular,9
CA-2017-117590,2017-12-08,GH-14485,FUR-FU-10003664,1,190.92,Central,190.92,2017,12,4,4,8,49,0,December,Friday,2017-12,190.92,190.92,Single,Very High,2016-10-08,2017-12-08,3,2,1361.244,453.7480000000001,3,3,387,426,0.0070257611241217,Very Recent,High Value,Rare,2863.8,Niche,4
CA-2016-117415,2016-12-27,SN-20710,OFF-EN-10002986,1,113.328,Central,113.328,2016,12,4,1,27,52,0,December,Tuesday,2016-12,113.328,113.328,Single,Very High,2015-05-06,2018-10-12,19,7,3127.9592,164.62943157894736,19,19,79,1255,0.0151273885350318,Very Recent,VIP,Occasional,176.288,Niche,2
CA-2016-117415,2016-12-27,SN-20710,FUR-BO-10002545,1,532.3992,Central,532.3992,2016,12,4,1,27,52,0,December,Tuesday,2016-12,532.3992,532.3992,Single,Very High,2015-05-06,2018-10-12,19,7,3127.9592,164.62943157894736,19,19,79,1255,0.0151273885350318,Very Recent,VIP,Occasional,7539.7122,Regular,8
CA-2016-117415,2016-12-27,SN-20710,FUR-CH-10004218,1,212.058,Central,212.058,2016,12,4,1,27,52,0,December,Tuesday,2016-12,212.058,212.058,Single,Very High,2015-05-06,2018-10-12,19,7,3127.9592,164.62943157894736,19,19,79,1255,0.0151273885350318,Very Recent,VIP,Occasional,2908.224,Regular,8
CA-2016-117415,2016-12-27,SN-20710,TEC-PH-10000486,1,371.168,Central,371.168,2016,12,4,1,27,52,0,December,Tuesday,2016-12,371.168,371.168,Single,Very High,2015-05-06,2018-10-12,19,7,3127.9592,164.62943157894736,19,19,79,1255,0.0151273885350318,Very Recent,VIP,Occasional,2227.008,Niche,3
CA-2018-120999,2018-09-10,LC-16930,TEC-PH-10004093,1,147.168,Central,147.168,2018,9,3,0,10,37,0,September,Monday,2018-09,147.168,147.168,Single,Very High,2015-02-20,2018-11-19,14,8,4492.946,320.9247142857143,14,14,41,1368,0.010226442658875,Very Recent,VIP,Occasional,846.216,Regular,7
CA-2017-101343,2017-07-17,RA-19885,OFF-ST-10003479,1,77.88,West,77.88,2017,7,3,0,17,29,0,July,Monday,2017-07,77.88,77.88,Single,Very High,2015-04-08,2018-11-05,13,6,3546.224,272.78646153846154,13,13,55,1307,0.0099388379204892,Very Recent,VIP,Rare,872.256,Regular,7
CA-2018-139619,2018-09-19,ES-14080,OFF-ST-10003282,1,95.616,South,95.616,2018,9,3,2,19,38,0,September,Wednesday,2018-09,95.616,95.616,Single,Very High,2015-10-02,2018-12-02,20,9,4657.924,232.8962,20,20,28,1157,0.0172711571675302,Very Recent,VIP,Occasional,1051.7759999999998,Niche,4
CA-2017-118255,2017-03-11,ON-18715,TEC-AC-10000171,1,45.98,Central,45.98,2017,3,1,5,11,10,1,March,Saturday,2017-03,45.98,45.98,Single,Very High,2015-09-13,2017-11-15,15,9,1567.52,104.50133333333332,15,15,410,794,0.0188679245283018,Very Recent,High Value,Occasional,248.292,Niche,5
CA-2017-118255,2017-03-11,ON-18715,OFF-BI-10003291,1,17.46,Central,17.46,2017,3,1,5,11,10,1,March,Saturday,2017-03,17.46,17.46,Single,High,2015-09-13,2017-11-15,15,9,1567.52,104.50133333333332,15,15,410,794,0.0188679245283018,Very Recent,High Value,Occasional,238.329,Regular,12
CA-2015-146703,2015-10-20,PO-18865,OFF-ST-10001713,1,211.96,Central,211.96,2015,10,4,1,20,43,0,October,Tuesday,2015-10,211.96,211.96,Single,Very High,2015-03-23,2018-12-30,13,7,2493.214,191.7856923076923,13,13,0,1378,0.009427121102248,Very Recent,VIP,Rare,953.82,Regular,6
CA-2017-169194,2017-06-20,LH-16900,TEC-AC-10002167,1,45.0,East,45.0,2017,6,2,1,20,25,0,June,Tuesday,2017-06,45.0,45.0,Single,Very High,2015-08-19,2018-12-09,15,9,2295.332,153.02213333333333,15,15,21,1208,0.0124069478908188,Very Recent,VIP,Occasional,357.0,Regular,8
CA-2017-169194,2017-06-20,LH-16900,TEC-PH-10003988,1,21.8,East,21.8,2017,6,2,1,20,25,0,June,Tuesday,2017-06,21.8,21.8,Single,Very High,2015-08-19,2018-12-09,15,9,2295.332,153.02213333333333,15,15,21,1208,0.0124069478908188,Very Recent,VIP,Occasional,261.6,Regular,8
CA-2016-115742,2016-04-18,DP-13000,OFF-BI-10004410,1,38.22,Central,38.22,2016,4,2,0,18,16,0,April,Monday,2016-04,38.22,38.22,Single,Very High,2015-01-03,2018-08-26,15,8,897.524,59.83493333333333,15,15,126,1331,0.0112612612612612,Very Recent,High Value,Occasional,85.995,Niche,4
CA-2016-115742,2016-04-18,DP-13000,OFF-LA-10002762,1,75.18,Central,75.18,2016,4,2,0,18,16,0,April,Monday,2016-04,75.18,75.18,Single,Very High,2015-01-03,2018-08-26,15,8,897.524,59.83493333333333,15,15,126,1331,0.0112612612612612,Very Recent,High Value,Occasional,639.03,Regular,8
CA-2016-115742,2016-04-18,DP-13000,FUR-FU-10001706,1,6.16,Central,6.16,2016,4,2,0,18,16,0,April,Monday,2016-04,6.16,6.16,Single,Medium,2015-01-03,2018-08-26,15,8,897.524,59.83493333333333,15,15,126,1331,0.0112612612612612,Very Recent,High Value,Occasional,106.568,Regular,9
CA-2016-115742,2016-04-18,DP-13000,FUR-CH-10003061,1,89.99,Central,89.99,2016,4,2,0,18,16,0,April,Monday,2016-04,89.99,89.99,Single,Very High,2015-01-03,2018-08-26,15,8,897.524,59.83493333333333,15,15,126,1331,0.0112612612612612,Very Recent,High Value,Occasional,1448.839,Regular,8
CA-2017-105816,2017-12-11,JM-15265,OFF-FA-10000304,1,15.26,East,15.26,2017,12,4,0,11,50,0,December,Monday,2017-12,15.26,15.26,Single,High,2015-08-25,2018-11-23,13,5,1804.146,138.78046153846154,13,13,37,1186,0.0109519797809604,Very Recent,High Value,Rare,54.936,Regular,7
CA-2017-105816,2017-12-11,JM-15265,TEC-PH-10002447,1,1029.95,East,1029.95,2017,12,4,0,11,50,0,December,Monday,2017-12,1029.95,1029.95,Single,Very High,2015-08-25,2018-11-23,13,5,1804.146,138.78046153846154,13,13,37,1186,0.0109519797809604,Very Recent,High Value,Rare,1936.306,Niche,4
CA-2017-111682,2017-06-17,TB-21055,OFF-ST-10000604,1,208.56,East,208.56,2017,6,2,5,17,24,1,June,Saturday,2017-06,208.56,208.56,Single,Very High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,980.232,Regular,7
CA-2017-111682,2017-06-17,TB-21055,OFF-PA-10001569,1,32.4,East,32.4,2017,6,2,5,17,24,1,June,Saturday,2017-06,32.4,32.4,Single,Very High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,120.528,Niche,4
CA-2017-111682,2017-06-17,TB-21055,FUR-CH-10003968,1,319.41,East,319.41,2017,6,2,5,17,24,1,June,Saturday,2017-06,319.41,319.41,Single,Very High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,1341.5220000000002,Regular,6
CA-2017-111682,2017-06-17,TB-21055,OFF-PA-10000587,1,14.56,East,14.56,2017,6,2,5,17,24,1,June,Saturday,2017-06,14.56,14.56,Single,High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,62.608,Niche,3
CA-2017-111682,2017-06-17,TB-21055,TEC-AC-10002167,1,30.0,East,30.0,2017,6,2,5,17,24,1,June,Saturday,2017-06,30.0,30.0,Single,Very High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,357.0,Regular,8
CA-2017-111682,2017-06-17,TB-21055,OFF-BI-10001460,1,48.48,East,48.48,2017,6,2,5,17,24,1,June,Saturday,2017-06,48.48,48.48,Single,Very High,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,269.67,Niche,5
CA-2017-111682,2017-06-17,TB-21055,OFF-AR-10001868,1,1.68,East,1.68,2017,6,2,5,17,24,1,June,Saturday,2017-06,1.68,1.68,Single,Low,2017-06-17,2018-09-02,17,4,1451.361,85.37417647058824,17,17,119,442,0.0383747178329571,Very Recent,High Value,Occasional,38.976,Regular,8
CA-2016-135545,2016-11-24,KM-16720,TEC-AC-10004633,1,13.98,West,13.98,2016,11,4,3,24,47,0,November,Thursday,2016-11,13.98,13.98,Single,High,2015-03-30,2018-12-02,28,8,4909.472,175.33828571428572,28,28,28,1343,0.0208333333333333,Very Recent,VIP,Occasional,184.536,Regular,6
CA-2016-135545,2016-11-24,KM-16720,OFF-BI-10001078,1,25.824,West,25.824,2016,11,4,3,24,47,0,November,Thursday,2016-11,25.824,25.824,Single,Very High,2015-03-30,2018-12-02,28,8,4909.472,175.33828571428572,28,28,28,1343,0.0208333333333333,Very Recent,VIP,Occasional,175.388,Regular,7
CA-2016-135545,2016-11-24,KM-16720,OFF-PA-10003892,1,146.73,West,146.73,2016,11,4,3,24,47,0,November,Thursday,2016-11,146.73,146.73,Single,Very High,2015-03-30,2018-12-02,28,8,4909.472,175.33828571428572,28,28,28,1343,0.0208333333333333,Very Recent,VIP,Occasional,743.432,Niche,4
CA-2016-135545,2016-11-24,KM-16720,FUR-FU-10000397,1,79.76,West,79.76,2016,11,4,3,24,47,0,November,Thursday,2016-11,79.76,79.76,Single,Very High,2015-03-30,2018-12-02,28,8,4909.472,175.33828571428572,28,28,28,1343,0.0208333333333333,Very Recent,VIP,Occasional,338.98,Niche,5
US-2016-164175,2016-04-30,PS-18970,FUR-CH-10001146,1,213.115,Central,213.115,2016,4,2,5,30,17,1,April,Saturday,2016-04,213.115,213.115,Single,Very High,2015-04-15,2018-10-22,13,8,1278.639,98.35684615384616,13,13,69,1286,0.0101010101010101,Very Recent,High Value,Rare,2247.176,Popular,14
CA-2015-106376,2015-12-05,BS-11590,OFF-AR-10002671,1,1113.024,West,1113.024,2015,12,4,5,5,49,1,December,Saturday,2015-12,1113.024,1113.024,Single,Very High,2015-01-14,2018-11-25,10,6,2454.928,245.4928,10,10,35,1411,0.0070821529745042,Very Recent,VIP,Rare,1113.024,Niche,1
CA-2015-106376,2015-12-05,BS-11590,TEC-PH-10002726,1,167.968,West,167.968,2015,12,4,5,5,49,1,December,Saturday,2015-12,167.968,167.968,Single,Very High,2015-01-14,2018-11-25,10,6,2454.928,245.4928,10,10,35,1411,0.0070821529745042,Very Recent,VIP,Rare,1112.788,Regular,7
CA-2017-119823,2017-06-04,KD-16270,OFF-PA-10000482,1,75.88,South,75.88,2017,6,2,6,4,22,1,June,Sunday,2017-06,75.88,75.88,Single,Very High,2015-11-11,2017-09-02,16,5,8282.358,517.647375,16,16,484,661,0.0241691842900302,Very Recent,VIP,Occasional,1016.792,Regular,6
CA-2017-106075,2017-09-18,HM-14980,OFF-BI-10004654,1,4.616,East,4.616,2017,9,3,0,18,38,0,September,Monday,2017-09,4.616,4.616,Single,Low,2016-10-02,2018-04-27,7,4,736.276,105.18228571428573,7,7,247,572,0.0122164048865619,Very Recent,Medium Value,Rare,214.573,Regular,11
CA-2018-114440,2018-09-14,TB-21520,OFF-PA-10004675,1,19.05,Central,19.05,2018,9,3,4,14,37,0,September,Friday,2018-09,19.05,19.05,Single,High,2015-10-17,2018-09-14,20,9,4737.486,236.8743,20,20,107,1063,0.018796992481203,Very Recent,VIP,Occasional,99.06,Regular,6
US-2016-134026,2016-04-26,JE-15745,FUR-CH-10000513,1,831.936,South,831.936,2016,4,2,1,26,17,0,April,Tuesday,2016-04,831.936,831.936,Single,Very High,2015-06-22,2018-11-09,23,13,6760.8150000000005,293.9484782608696,23,22,51,1236,0.0185933710590137,Very Recent,VIP,Occasional,4770.633,Regular,9
US-2016-134026,2016-04-26,JE-15745,FUR-FU-10003708,1,97.04,South,97.04,2016,4,2,1,26,17,0,April,Tuesday,2016-04,97.04,97.04,Single,Very High,2015-06-22,2018-11-09,23,13,6760.8150000000005,293.9484782608696,23,22,51,1236,0.0185933710590137,Very Recent,VIP,Occasional,1322.17,Regular,6
US-2016-134026,2016-04-26,JE-15745,OFF-ST-10004123,1,72.784,South,72.784,2016,4,2,1,26,17,0,April,Tuesday,2016-04,72.784,72.784,Single,Very High,2015-06-22,2018-11-09,23,13,6760.8150000000005,293.9484782608696,23,22,51,1236,0.0185933710590137,Very Recent,VIP,Occasional,2511.048,Regular,8
US-2018-118038,2018-12-09,KB-16600,OFF-BI-10004182,1,1.248,Central,1.248,2018,12,4,6,9,49,1,December,Sunday,2018-12,1.248,1.248,Single,Low,2015-12-30,2018-12-29,9,7,983.922,109.32466666666669,9,9,1,1095,0.0082116788321167,Very Recent,High Value,Rare,26.624,Niche,3
US-2018-118038,2018-12-09,KB-16600,FUR-FU-10000260,1,9.708,Central,9.708,2018,12,4,6,9,49,1,December,Sunday,2018-12,9.708,9.708,Single,Medium,2015-12-30,2018-12-29,9,7,983.922,109.32466666666669,9,9,1,1095,0.0082116788321167,Very Recent,High Value,Rare,100.316,Niche,3
